     0.806     1.595    -2.117    -1.542    -1.346    -1.922    -2.053    -1.676    -1.888    -1.601    -0.274     0.520    -0.603    -0.274     0.521    -0.603     0.000     0.000     0.000     0.000     0.001     0.999     0.000     6.000     0.763     83
     0.806     0.625    -1.084    -1.542    -1.346     0.982    -1.043    -1.676    -1.888    -1.601    -0.274     0.512    -0.603    -0.274     0.521    -0.603     0.000     0.000     0.000     0.000     0.006     0.994     0.000     6.000     0.810     84
     0.806     0.625     0.981     1.484    -0.138    -0.954    -1.043    -0.669     0.094    -0.563     0.479     0.350    -0.245     0.483     0.349    -0.244     0.000     0.000     0.000     0.000     0.000     0.005     0.995     7.000     1.672     85
     0.806     0.625     0.981     0.475    -0.138    -0.954    -1.043    -0.669    -0.897     0.474     0.247     0.399    -0.355     0.483     0.349    -0.244     0.001     0.000     0.000     0.000     0.002     0.309     0.688     7.000     0.853     86
     1.799     1.595     0.981    -0.533    -0.138     0.982     0.976     0.337     0.094     1.512    -0.174     0.622     0.646    -0.185     0.622     0.641     0.000     0.013     0.984     0.002     0.000     0.000     0.000     3.000     0.958     87
    -0.188     0.625     0.981     1.484     2.279     0.014     0.976     1.343     1.085     0.474     0.599     0.628     0.892     0.600     0.629     0.895     0.000     0.997     0.000     0.000     0.000     0.000     0.003     2.000     1.711     88
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     1.343     1.085     1.512     0.600     0.629     0.895     0.600     0.629     0.895     0.000     1.000     0.000     0.000     0.000     0.000     0.000     2.000     0.966     89
     0.806     0.625     0.981     1.484     1.071     0.982     0.976     1.343     0.094     0.474     0.599     0.628     0.893     0.600     0.629     0.895     0.000     0.997     0.001     0.000     0.000     0.000     0.002     2.000     0.763     90
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     1.343     1.085     1.512     0.600     0.629     0.895     0.600     0.629     0.895     0.000     1.000     0.000     0.000     0.000     0.000     0.000     2.000     1.475     91
     0.806     0.625     2.013    -0.533    -0.138     0.982    -0.034     1.343     0.094     1.512    -0.152     0.606     0.646    -0.185     0.622     0.641     0.014     0.042     0.943     0.001     0.000     0.000     0.000     3.000     0.589     92
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     0.337     1.085     1.512     0.600     0.628     0.894     0.600     0.629     0.895     0.000     0.999     0.000     0.000     0.000     0.000     0.001     2.000     1.327     93
     0.806     0.625    -0.052    -0.533    -0.138     0.982     0.976     1.343     1.085     1.512    -0.179     0.644     0.695    -0.185     0.622     0.641     0.003     0.016     0.935     0.046     0.000     0.000     0.000     3.000     1.797     95
    -2.175     1.595    -1.084    -0.533    -1.346     0.014    -0.034    -1.676    -1.888    -0.563    -0.262    -0.815    -0.677    -0.260    -1.062    -0.693     0.002     0.000     0.000     0.000     0.842     0.155     0.000     5.000     1.313     96
